MutTable_Hydro_GeneName	pLI	mis_z
ZNF629	1.00E+00	3.86E+00
KDM5C	1.00E+00	5.15E+00
PHF6	9.98E-01	2.28E+00
DICER1	1.00E+00	4.23E+00
GRIN2D	1.00E+00	4.85E+00
RPL5	9.98E-01	1.90E+00
PHF23	9.98E-01	9.60E-01
SIPA1L1	1.00E+00	2.98E+00
MYH10	1.00E+00	5.01E+00
GABBR2	1.00E+00	4.63E+00
CECR2	1.00E+00	5.73E-01
F9	9.98E-01	2.18E+00
PAK5	1.00E+00	1.47E+00
USP11	1.00E+00	3.57E+00
PPP1R9B	1.00E+00	3.02E+00
SFSWAP	1.00E+00	2.80E+00
HNF1B	1.00E+00	1.73E+00
NOP2	1.00E+00	6.38E-01
TMEM63B	1.00E+00	4.22E+00
STAU1	1.00E+00	1.93E+00
ARPC2	9.98E-01	2.70E+00
CSK	1.00E+00	3.98E+00
SOX9	9.98E-01	1.63E+00
NCOR2	1.00E+00	2.01E+00
ANK1	1.00E+00	2.08E+00
ZNF236	1.00E+00	3.84E+00
ABCA2	1.00E+00	4.91E+00
PPP1R16B	1.00E+00	2.44E+00
RC3H2	1.00E+00	2.45E+00
PAX6	1.00E+00	2.82E+00
CENPI	1.00E+00	1.46E+00
ZNF638	1.00E+00	-5.75E-01
NACC1	9.98E-01	4.17E+00
PDGFRA	1.00E+00	1.94E+00
CADM4	9.98E-01	2.74E+00
ACVR2A	1.00E+00	3.29E+00
TRIM9	1.00E+00	3.01E+00
DYRK2	9.98E-01	1.95E+00
TRPC5	1.00E+00	3.27E+00
BMT2	9.97E-01	2.21E+00
MKL2	1.00E+00	5.23E-01
GPATCH8	1.00E+00	1.46E+00
ESCO1	1.00E+00	4.31E-01
GRID2	1.00E+00	7.08E-01
WEE1	1.00E+00	2.64E+00
MBTPS2	9.98E-01	2.09E+00
PRPF4B	1.00E+00	3.59E+00
ZNF654	9.98E-01	1.13E+00
CHD9	1.00E+00	3.77E+00
KIF1B	1.00E+00	3.60E+00
RNF2	9.97E-01	2.52E+00
DAGLA	1.00E+00	4.01E+00
MNT	9.97E-01	9.81E-01
PRKCD	1.00E+00	3.11E+00
KDM4B	1.00E+00	3.48E+00
CELF1	1.00E+00	3.34E+00
ANKRD28	1.00E+00	2.39E+00
MEN1	1.00E+00	3.25E+00
SYVN1	1.00E+00	2.18E+00
FZR1	1.00E+00	3.64E+00
ZFP91	1.00E+00	1.63E+00
ARMC8	1.00E+00	2.88E+00
CAMTA1	1.00E+00	3.26E+00
LIN54	1.00E+00	2.70E+00
TRIM71	1.00E+00	3.28E+00
NKAP	9.97E-01	1.51E+00
TFAP4	9.97E-01	1.60E+00
ACVR1B	1.00E+00	3.37E+00
PSMD4	9.97E-01	2.53E+00
FBLN5	1.00E+00	1.56E+00
EEF2	1.00E+00	4.88E+00
ISY1-RAB43	1.00E+00	1.42E+00
CFLAR	1.00E+00	2.19E+00
OTUD5	9.97E-01	3.99E+00
HIVEP1	1.00E+00	3.28E-01
GTF3C1	1.00E+00	3.26E+00
ENAH	1.00E+00	1.74E+00
FOXO1	9.97E-01	1.71E+00
TNRC6B	1.00E+00	2.87E+00
EEF1G	1.00E+00	2.50E+00
TENM4	1.00E+00	2.73E+00
KLF4	9.97E-01	1.00E-01
SEC24C	1.00E+00	1.50E+00
CTDSPL2	1.00E+00	2.20E+00
JADE2	1.00E+00	2.46E+00
PCGF1	9.97E-01	2.11E+00
TTC28	1.00E+00	4.17E+00
GATA6	9.97E-01	1.28E+00
SCN3A	1.00E+00	4.62E+00
PSME3	9.97E-01	2.39E+00
TET1	1.00E+00	1.62E+00
NUP153	1.00E+00	-7.61E-01
CELF2	1.00E+00	4.34E+00
DDX6	1.00E+00	3.78E+00
BAG6	1.00E+00	2.72E+00
EPHA4	1.00E+00	2.89E+00
MKLN1	1.00E+00	2.74E+00
ZMYM4	1.00E+00	3.86E+00
PPP2R5D	1.00E+00	3.65E+00
ANAPC2	1.00E+00	2.41E+00
FOXP1	1.00E+00	2.28E+00
TDRD1	1.00E+00	1.40E+00
MAP4K4	1.00E+00	4.74E+00
MAPK1	9.97E-01	3.61E+00
NCDN	1.00E+00	3.76E+00
BSN	1.00E+00	1.26E+00
ADRM1	9.97E-01	1.38E+00
NCOR1	1.00E+00	3.94E+00
CNOT7	9.97E-01	2.63E+00
MTM1	1.00E+00	2.40E+00
BAZ1A	1.00E+00	2.94E+00
ABL1	1.00E+00	2.56E+00
JAKMIP2	1.00E+00	3.36E+00
ZNF516	1.00E+00	9.92E-01
PTBP1	1.00E+00	1.65E+00
CLASP1	1.00E+00	3.61E+00
HTT	1.00E+00	2.78E+00
RELN	1.00E+00	2.25E+00
BRPF1	1.00E+00	3.83E+00
R3HDM2	1.00E+00	3.33E+00
MYO9B	1.00E+00	3.97E+00
PHF2	1.00E+00	3.49E+00
PAPOLA	1.00E+00	3.55E+00
ZZZ3	1.00E+00	1.67E+00
EIF4ENIF1	1.00E+00	1.99E+00
PSME4	1.00E+00	2.27E+00
NCL	1.00E+00	8.49E-01
GLA	9.97E-01	1.88E+00
GPHN	1.00E+00	3.44E+00
BRPF3	1.00E+00	2.91E+00
MSL3	9.97E-01	1.93E+00
PRPF8	1.00E+00	8.28E+00
KDM2B	1.00E+00	3.44E+00
AKT3	1.00E+00	3.95E+00
HIC2	9.97E-01	2.05E+00
PNISR	1.00E+00	1.61E+00
DPP10	1.00E+00	1.22E+00
MGAT5	1.00E+00	2.56E+00
NKRF	9.97E-01	2.74E+00
GRK2	1.00E+00	3.22E+00
ZER1	1.00E+00	3.75E+00
EXOC5	1.00E+00	2.34E+00
SF3B3	1.00E+00	5.18E+00
SYMPK	1.00E+00	2.86E+00
SPPL3	9.97E-01	3.44E+00
PKD1	1.00E+00	-4.32E+00
TEK	1.00E+00	1.35E+00
G3BP2	1.00E+00	3.61E+00
ZBTB18	9.97E-01	3.43E+00
PTPN2	1.00E+00	1.38E+00
ARHGEF12	1.00E+00	3.25E+00
LAS1L	1.00E+00	2.67E+00
PLK2	1.00E+00	3.01E+00
PITPNM2	1.00E+00	4.13E+00
IDS	9.96E-01	1.58E+00
DST	1.00E+00	2.22E+00
DNM2	1.00E+00	3.48E+00
PDS5B	1.00E+00	4.39E+00
PTPRT	1.00E+00	3.14E+00
RPL7	9.96E-01	1.15E+00
TOX3	1.00E+00	1.16E+00
CENPB	9.96E-01	2.73E+00
SERBP1	1.00E+00	1.67E+00
ZRANB2	9.99E-01	1.68E+00
HCN1	1.00E+00	3.66E+00
RELA	9.99E-01	2.45E+00
COPS3	9.99E-01	2.37E+00
TFDP2	1.00E+00	1.69E+00
WDR7	1.00E+00	2.48E+00
TNIK	1.00E+00	4.10E+00
ZDHHC17	1.00E+00	2.57E+00
NOL6	1.00E+00	8.64E-01
NOVA1	9.96E-01	2.32E+00
LMTK3	1.00E+00	4.32E+00
ATP5A1	9.99E-01	2.44E+00
SLC7A3	9.96E-01	1.90E+00
MLLT10	1.00E+00	1.60E+00
MLLT6	1.00E+00	2.10E+00
ATP2C1	1.00E+00	3.67E+00
RNF8	9.99E-01	2.16E+00
SET	9.96E-01	2.66E+00
UBE3C	1.00E+00	2.54E+00
SYCP2	1.00E+00	2.58E-01
CIC	1.00E+00	7.26E-01
ACAN	1.00E+00	2.07E-01
SF1	9.99E-01	3.62E+00
EPHB2	1.00E+00	2.45E+00
CSNK2A2	9.99E-01	3.15E+00
FAT4	1.00E+00	6.22E-01
NAP1L1	9.99E-01	1.76E+00
MED12L	1.00E+00	3.13E+00
ALAS2	9.96E-01	2.37E+00
CEP350	1.00E+00	1.39E+00
DDX21	1.00E+00	2.45E+00
MEIS2	9.99E-01	2.46E+00
MTF2	1.00E+00	2.55E+00
MAP3K4	1.00E+00	2.87E+00
SHANK1	1.00E+00	3.64E+00
KLHL2	1.00E+00	3.89E+00
MTOR	1.00E+00	7.02E+00
PACS1	1.00E+00	3.71E+00
GLUL	9.96E-01	1.60E+00
NAV3	1.00E+00	1.33E+00
NCAM1	1.00E+00	2.71E+00
SARNP	9.96E-01	1.18E+00
WWC3	1.00E+00	1.51E+00
LRRC41	1.00E+00	3.08E+00
CTNND1	1.00E+00	2.08E+00
ADGRL3	1.00E+00	2.67E+00
CNKSR2	1.00E+00	3.61E+00
FXR2	1.00E+00	2.62E+00
SYK	1.00E+00	2.90E+00
PTPN12	1.00E+00	1.16E+00
PAPD7	9.99E-01	2.31E+00
PARP6	1.00E+00	3.18E+00
EEF1A2	9.96E-01	4.82E+00
HNRNPUL1	1.00E+00	3.23E+00
ZC3H11A	1.00E+00	1.69E+00
PRRC2A	1.00E+00	-1.84E-01
XKR6	9.99E-01	2.01E+00
ARID4B	1.00E+00	2.29E+00
EIF3D	1.00E+00	3.49E+00
NDST1	1.00E+00	2.92E+00
PTPRF	1.00E+00	2.80E+00
ADGRL1	1.00E+00	3.43E+00
ARHGEF7	1.00E+00	2.57E+00
GPKOW	9.96E-01	9.21E-01
EED	9.99E-01	2.73E+00
ZNF423	1.00E+00	2.49E+00
CUX2	1.00E+00	3.18E+00
NFATC2	1.00E+00	1.64E+00
STAT1	1.00E+00	5.15E+00
TMEM108	9.96E-01	6.67E-01
DIDO1	1.00E+00	1.10E+00
PHF20L1	1.00E+00	1.85E+00
PRDM16	1.00E+00	1.35E+00
DLL4	1.00E+00	2.71E+00
SEPT7	9.99E-01	2.74E+00
CDC73	1.00E+00	3.73E+00
JARID2	1.00E+00	2.69E+00
SNRNP70	9.99E-01	3.45E+00
PRRC2B	1.00E+00	7.13E-01
SOX5	1.00E+00	3.15E+00
GRIN2A	1.00E+00	2.83E+00
PLAG1	9.95E-01	2.25E+00
ASAP1	1.00E+00	3.31E+00
CCT5	9.99E-01	1.47E+00
CNOT2	1.00E+00	3.65E+00
ELAVL2	9.95E-01	1.29E+00
SUGP2	1.00E+00	6.62E-01
RSPRY1	1.00E+00	3.36E+00
USP37	1.00E+00	2.46E+00
NRF1	9.99E-01	4.51E+00
NFKBIZ	1.00E+00	1.18E+00
RBBP5	1.00E+00	3.59E+00
DSCAM	1.00E+00	3.22E+00
TTC7B	1.00E+00	2.09E+00
PRKD2	1.00E+00	3.68E+00
PAXBP1	1.00E+00	2.66E+00
UNK	1.00E+00	3.72E+00
USF3	1.00E+00	7.93E-01
AP2M1	9.99E-01	4.88E+00
NOS1	1.00E+00	3.68E+00
CBX2	9.95E-01	-2.62E-01
PPARD	9.95E-01	2.48E+00
YAP1	9.99E-01	1.78E+00
ESR1	9.99E-01	1.61E+00
THRAP3	1.00E+00	2.16E+00
UBE2Q1	9.99E-01	3.35E+00
RNF31	1.00E+00	2.14E+00
NYAP1	9.99E-01	7.68E-01
SCARF2	1.00E+00	3.02E+00
NOL4L	9.95E-01	1.96E+00
DOCK9	1.00E+00	3.10E+00
COL4A5	1.00E+00	2.50E+00
NR2F1	9.95E-01	4.17E+00
WNK3	1.00E+00	2.55E+00
DKC1	9.99E-01	3.40E+00
SENP5	1.00E+00	2.12E+00
LGI1	9.99E-01	2.78E+00
BMPR2	1.00E+00	2.06E+00
SMARCE1	9.99E-01	2.74E+00
FURIN	1.00E+00	2.50E+00
SPTBN4	1.00E+00	3.93E+00
RPL7A	9.95E-01	9.01E-01
TENM2	1.00E+00	3.30E+00
ASIC2	9.99E-01	1.67E+00
ACTR3B	9.99E-01	2.97E+00
ARHGAP31	1.00E+00	7.97E-01
SNX27	1.00E+00	2.17E+00
AJAP1	9.95E-01	9.36E-01
PTPRA	1.00E+00	2.67E+00
GRIK3	1.00E+00	3.01E+00
MAP1A	1.00E+00	2.01E+00
CEP170	1.00E+00	2.20E+00
GDI1	9.95E-01	3.29E+00
XKR4	9.99E-01	1.64E+00
HPN	9.99E-01	1.79E+00
TNS3	1.00E+00	9.45E-01
MTPAP	9.99E-01	9.51E-01
VDAC3	9.95E-01	1.10E+00
SNAP91	1.00E+00	2.16E+00
EBF2	1.00E+00	2.11E+00
TAF5L	9.99E-01	2.37E+00
ZBTB16	9.99E-01	2.47E+00
AGO3	1.00E+00	5.26E+00
PPME1	9.99E-01	1.75E+00
GRIA3	1.00E+00	4.23E+00
NFKBIA	9.95E-01	7.07E-01
TENM1	1.00E+00	3.43E+00
CYBB	9.99E-01	2.19E+00
SCAF11	1.00E+00	5.38E-01
TBX18	9.99E-01	9.90E-02
SEC24B	1.00E+00	1.23E+00
ZNF280C	9.99E-01	1.55E+00
ATN1	1.00E+00	1.76E+00
EXOC8	9.99E-01	2.04E+00
BHLHE40	9.94E-01	7.87E-01
SH3KBP1	9.99E-01	2.05E+00
SKI	9.99E-01	1.51E+00
DCUN1D5	9.94E-01	2.28E+00
SOGA1	1.00E+00	2.27E+00
CHM	9.99E-01	7.93E-01
RBFOX2	9.99E-01	2.58E+00
RAE1	9.99E-01	2.68E+00
RUVBL1	9.99E-01	3.39E+00
PPP4R3A	1.00E+00	3.64E+00
TBR1	9.99E-01	3.64E+00
PSMD13	9.99E-01	6.34E-01
GLI3	1.00E+00	5.22E-01
SGIP1	1.00E+00	1.06E+00
FOXP3	9.94E-01	1.67E+00
KIAA0232	1.00E+00	1.20E+00
WDR44	1.00E+00	2.95E+00
CACNG3	9.94E-01	2.64E+00
SIN3B	1.00E+00	3.87E+00
ATRN	1.00E+00	2.69E+00
KLHL15	9.94E-01	3.69E+00
ACTR2	9.99E-01	3.67E+00
GLYR1	1.00E+00	2.34E+00
CLIP2	1.00E+00	2.36E+00
PDS5A	1.00E+00	5.05E+00
PIK3CD	1.00E+00	4.27E+00
ROCK1	1.00E+00	4.59E+00
SALL1	1.00E+00	7.22E-01
ATXN7L3	9.99E-01	2.05E+00
FGD1	1.00E+00	3.52E+00
LINGO1	9.94E-01	2.80E+00
TNFAIP3	1.00E+00	1.45E+00
NUFIP2	9.99E-01	6.04E-01
RIC8B	9.99E-01	2.00E+00
IL1RAPL1	9.99E-01	2.77E+00
POU2F2	9.99E-01	2.60E+00
COPS4	9.99E-01	3.14E+00
DNAJC13	1.00E+00	2.28E+00
XRN1	1.00E+00	2.11E+00
ANKRD12	1.00E+00	5.57E-01
PACSIN1	9.99E-01	2.63E+00
RAPGEF2	1.00E+00	3.62E+00
ETS2	9.99E-01	2.28E+00
HCFC2	1.00E+00	3.50E+00
PAIP1	9.99E-01	9.03E-01
LAMC1	1.00E+00	1.58E+00
SSBP3	1.00E+00	2.75E+00
NEDD4L	1.00E+00	3.73E+00
KIAA0368	1.00E+00	1.77E+00
PDGFC	9.94E-01	1.17E+00
KIAA2022	1.00E+00	1.27E+00
IPO13	1.00E+00	3.49E+00
PSMA5	9.94E-01	2.81E+00
YY1	9.94E-01	3.31E+00
ASXL3	1.00E+00	6.07E-01
PA2G4	9.99E-01	3.52E+00
DLGAP2	1.00E+00	-9.96E-01
MPPED2	9.93E-01	2.00E+00
CPSF7	9.99E-01	2.59E+00
VCAN	1.00E+00	1.39E-01
PAX8	9.99E-01	7.85E-01
PRKCE	1.00E+00	3.77E+00
KCTD16	9.93E-01	1.23E+00
KIF4A	1.00E+00	2.56E+00
DAB2IP	1.00E+00	2.36E+00
SIPA1L3	1.00E+00	1.55E+00
TOX	9.99E-01	1.20E+00
NTNG2	9.99E-01	2.93E+00
CLASP2	1.00E+00	3.87E+00
HERC2	1.00E+00	4.42E+00
DCAF8	1.00E+00	3.15E+00
STIP1	1.00E+00	1.92E+00
ACIN1	1.00E+00	2.20E+00
HSPA8	9.99E-01	4.46E+00
RPL6	9.93E-01	1.03E+00
SETDB1	1.00E+00	4.01E+00
NFIA	1.00E+00	3.23E+00
RNF220	1.00E+00	2.22E+00
JPH3	9.99E-01	-3.18E-01
CACNA1I	1.00E+00	5.05E+00
RFWD2	1.00E+00	2.53E+00
STAT5A	1.00E+00	2.94E+00
GATAD2A	1.00E+00	1.27E+00
COL1A2	1.00E+00	2.15E+00
DMXL1	1.00E+00	-4.89E-01
AP1G1	1.00E+00	2.98E+00
OSBPL6	1.00E+00	1.78E+00
USP19	1.00E+00	1.99E+00
SMARCA2	1.00E+00	5.05E+00
ARHGAP21	1.00E+00	9.55E-01
CAMSAP2	1.00E+00	2.70E+00
PHF1	1.00E+00	1.80E+00
PRKCG	1.00E+00	3.06E+00
ARFGEF3	1.00E+00	2.50E+00
PDZD8	1.00E+00	1.57E+00
BTBD11	1.00E+00	2.22E+00
UNC5A	1.00E+00	2.75E+00
CTDSP1	9.93E-01	1.15E+00
CELF5	9.98E-01	3.69E+00
RBM14	9.98E-01	2.11E+00
TRAPPC10	1.00E+00	1.56E+00
CYLD	1.00E+00	3.55E+00
FTSJ1	9.93E-01	2.17E+00
ATP9A	1.00E+00	4.15E+00
BRSK1	1.00E+00	3.94E+00
NFAT5	1.00E+00	3.13E+00
ATF7	9.98E-01	2.28E+00
IL21R	9.98E-01	7.49E-01
RBM39	1.00E+00	4.26E+00
EIF4A2	9.98E-01	3.90E+00
MORC2	1.00E+00	3.23E+00
FBN2	1.00E+00	1.55E+00
ZC3H12B	9.98E-01	2.54E+00
CSNK1G3	9.99E-01	2.75E+00
PDE4D	1.00E+00	3.75E+00
GNAL	9.98E-01	3.34E+00
PITPNM3	1.00E+00	2.01E+00
UBE3A	1.00E+00	4.40E+00
ZNF512B	1.00E+00	1.83E+00
BHLHE41	9.92E-01	8.23E-01
SETD2	1.00E+00	3.05E+00
SMARCD1	9.99E-01	3.44E+00
RBM27	1.00E+00	2.48E+00
SLC9A6	9.98E-01	2.95E+00
TOMM40	9.92E-01	2.16E+00
RIMS2	1.00E+00	7.76E-01
ANKIB1	1.00E+00	3.16E+00
CDK1	9.92E-01	2.97E+00
FBXO41	9.99E-01	1.85E+00
MAPK8	9.98E-01	2.88E+00
GLG1	1.00E+00	2.07E+00
PTPRC	1.00E+00	1.17E+00
RASGRF1	1.00E+00	4.21E+00
ACHE	9.98E-01	2.75E+00
HMGCS1	9.98E-01	3.04E+00
QSER1	1.00E+00	1.34E+00
ATAD5	1.00E+00	1.89E+00
SF3B4	9.92E-01	3.87E+00
DDI2	9.98E-01	2.73E+00
EP400	1.00E+00	2.56E+00
PAPD5	9.99E-01	3.55E+00
GCN1	1.00E+00	4.44E+00
CORO1C	9.98E-01	2.33E+00
IL2RG	9.92E-01	1.49E+00
MBD6	9.99E-01	-7.41E-01
ARHGAP30	1.00E+00	-1.02E-01
PPP5C	9.99E-01	2.73E+00
LMNA	9.99E-01	2.37E+00
RAB11A	9.92E-01	3.09E+00
SYNCRIP	9.99E-01	3.54E+00
SOX10	9.92E-01	2.77E+00
BRAF	1.00E+00	3.72E+00
SVOP	9.99E-01	2.46E+00
HNRNPR	9.99E-01	3.54E+00
RPGR	9.98E-01	1.25E+00
WNK2	1.00E+00	2.58E+00
MAPRE1	9.91E-01	1.43E+00
WDR45	9.91E-01	2.02E+00
MEPCE	9.98E-01	1.99E+00
BRINP2	9.99E-01	8.64E-01
C11ORF84	9.91E-01	6.70E-01
NPAS3	1.00E+00	3.14E+00
USP15	1.00E+00	3.50E+00
ZC3H13	1.00E+00	1.73E+00
DGCR8	1.00E+00	2.99E+00
CACNA1G	1.00E+00	4.64E+00
ING3	9.99E-01	2.29E+00
CSMD1	1.00E+00	-6.87E+00
ERCC6L	9.99E-01	2.89E+00
DNAJA2	9.98E-01	2.48E+00
TAF5	1.00E+00	2.65E+00
KIF26B	1.00E+00	9.47E-01
UBN1	1.00E+00	-7.89E-01
MTSS1	1.00E+00	1.82E+00
ASTN1	1.00E+00	1.65E+00
NCOA5	9.99E-01	9.94E-01
OTUD4	1.00E+00	1.56E+00
SORT1	1.00E+00	2.10E+00
UCHL1	9.91E-01	6.99E-01
LEF1	9.98E-01	1.57E+00
FRY	1.00E+00	4.19E+00
MAP3K7	1.00E+00	2.79E+00
LCK	9.99E-01	3.48E+00
ZNF445	1.00E+00	1.37E+00
IGF2R	1.00E+00	2.07E+00
BTBD18	9.98E-01	1.65E+00
CHRM1	9.91E-01	2.76E+00
ASH2L	1.00E+00	2.78E+00
ACTN1	1.00E+00	3.36E+00
ATF7IP	1.00E+00	1.78E+00
ATP6AP1	9.91E-01	1.53E+00
HSP90AB1	9.99E-01	2.05E+00
PDE10A	1.00E+00	3.76E+00
RFX2	1.00E+00	2.66E+00
COPB1	1.00E+00	2.38E+00
RNF111	1.00E+00	3.20E-01
TBC1D10B	9.99E-01	1.95E+00
WDR33	1.00E+00	3.90E+00
NRG2	9.99E-01	2.27E+00
UBN2	1.00E+00	1.87E-01
UBR2	1.00E+00	3.15E+00
FAM193A	1.00E+00	9.05E-01
SLC6A8	9.98E-01	3.05E+00
SARS	9.99E-01	2.66E+00
AFDN	1.00E+00	2.21E+00
SRCIN1	1.00E+00	2.82E+00
CACNA1D	1.00E+00	4.58E+00
ST5	1.00E+00	1.87E+00
MAP3K1	1.00E+00	1.67E+00
IGSF1	1.00E+00	1.15E+00
COG3	1.00E+00	1.57E+00
JAK1	1.00E+00	4.61E+00
RAB14	9.90E-01	2.85E+00
EVI5L	1.00E+00	4.23E+00
DYRK1A	1.00E+00	3.34E+00
NEURL4	1.00E+00	2.95E+00
DAB1	9.99E-01	1.52E+00
KCNH4	1.00E+00	2.94E+00
ARHGEF11	1.00E+00	1.63E+00
CCAR1	1.00E+00	3.64E+00
THSD7A	1.00E+00	-5.98E-01
SOX6	1.00E+00	1.93E+00
FGFR1	1.00E+00	2.49E+00
TTYH3	9.99E-01	8.07E-01
ROCK2	1.00E+00	4.38E+00
ANKS1B	1.00E+00	2.95E+00
NFASC	1.00E+00	2.59E+00
WASF1	9.98E-01	2.55E+00
SENP6	1.00E+00	9.99E-01
CSNK1A1	9.98E-01	4.30E+00
WDR48	1.00E+00	2.80E+00
GCLM	9.90E-01	1.36E+00
RPS8	9.90E-01	2.42E+00
FAF2	9.99E-01	2.52E+00
HS6ST3	9.90E-01	1.19E+00
RBM4	9.90E-01	1.98E+00
CSNK1G1	9.99E-01	1.99E+00
ACACA	1.00E+00	7.24E+00
COL11A1	1.00E+00	1.02E+00
U2AF1	9.90E-01	3.85E+00
ATP7A	1.00E+00	1.53E+00
TPX2	1.00E+00	4.90E-01
NUMA1	1.00E+00	8.81E-01
NR2F2	9.90E-01	3.60E+00
TCF4	1.00E+00	4.10E+00
HTATSF1	9.97E-01	1.98E+00
TRAF6	9.97E-01	2.72E+00
RSRC2	9.99E-01	1.99E+00
SNRPA1	9.90E-01	1.87E+00
SNW1	1.00E+00	2.85E+00
NXN	9.97E-01	2.18E+00
CCT4	9.99E-01	1.01E+00
SAMD4A	1.00E+00	1.84E+00
RTL9	9.97E-01	-6.69E-01
ZMIZ2	1.00E+00	1.92E+00
ANP32A	9.90E-01	2.53E+00
GPM6A	9.90E-01	1.96E+00
ITCH	1.00E+00	3.58E+00
XRCC6	9.99E-01	3.10E+00
AGO4	1.00E+00	3.79E+00
DDX39B	9.97E-01	4.56E+00
ZNF536	1.00E+00	2.40E+00
HNRNPA2B1	9.97E-01	3.00E+00
EWSR1	1.00E+00	2.52E+00
NUMBL	9.99E-01	3.03E+00
STRBP	1.00E+00	3.48E+00
CPEB1	9.99E-01	2.10E+00
SUV39H1	9.90E-01	3.49E+00
FOXP2	1.00E+00	1.90E+00
RXRB	9.97E-01	3.42E+00
SP2	9.97E-01	2.37E+00
AQR	1.00E+00	3.55E+00
SEMA3F	1.00E+00	2.47E+00
SMG7	1.00E+00	2.19E+00
SRP54	9.99E-01	3.45E+00
KDM3A	1.00E+00	1.65E+00
FRS2	9.97E-01	1.13E+00
BRD2	1.00E+00	5.93E-01
ADAMTS6	1.00E+00	3.09E+00
GIT1	1.00E+00	3.06E+00
ATP13A3	1.00E+00	3.01E+00
RAB2A	9.89E-01	2.99E+00
ASAP2	1.00E+00	2.37E+00
PRKAR2B	9.97E-01	2.47E+00
SMARCB1	9.97E-01	3.60E+00
STAT5B	1.00E+00	4.00E+00
HAUS7	9.89E-01	3.76E-01
SYCP1	1.00E+00	1.38E+00
YTHDF3	9.97E-01	2.66E+00
ARHGAP44	1.00E+00	2.39E+00
MAP2K4	9.97E-01	3.23E+00
WDR1	9.99E-01	1.93E+00
NR2C2	9.99E-01	3.18E+00
ARHGAP23	1.00E+00	1.99E+00
SEMA6A	1.00E+00	7.47E-01
BCL3	9.89E-01	2.27E+00
MGAT1	9.89E-01	1.51E+00
SOCS6	9.89E-01	8.54E-01
AFF3	1.00E+00	1.71E+00
BAHCC1	1.00E+00	1.04E-01
FNDC3A	1.00E+00	1.53E+00
DPYSL3	9.99E-01	2.48E+00
NCBP3	9.99E-01	2.32E+00
ITSN1	1.00E+00	3.61E+00
NOL4	9.99E-01	2.27E+00
PROX1	9.99E-01	3.52E+00
CAMKV	9.97E-01	3.32E+00
ZBTB38	9.99E-01	2.31E+00
UBQLN1	9.99E-01	2.39E+00
ATXN7L1	9.99E-01	2.30E+00
LYN	9.99E-01	3.34E+00
SMAD4	9.99E-01	4.13E+00
BRWD1	1.00E+00	2.85E+00
ELAVL1	9.88E-01	3.81E+00
SF3B2	1.00E+00	3.68E+00
CLCN3	1.00E+00	4.37E+00
SLIT1	1.00E+00	3.09E+00
TUBB2B	9.88E-01	5.12E+00
PHF19	9.99E-01	3.35E+00
FAM135B	1.00E+00	9.66E-01
FCHO2	1.00E+00	2.02E+00
PRDM2	1.00E+00	1.08E+00
DNAJC6	1.00E+00	1.60E+00
ATP2B3	9.99E-01	2.75E+00
RAPGEF1	1.00E+00	3.13E+00
NTN1	9.97E-01	2.27E+00
FEZF2	9.89E-01	2.07E+00
FBXO32	9.97E-01	1.57E+00
PTBP2	9.99E-01	3.20E+00
EFNB2	9.88E-01	1.83E+00
CDK17	9.99E-01	2.64E+00
MAML3	1.00E+00	9.02E-01
THRB	9.97E-01	2.57E+00
MORC3	1.00E+00	2.89E+00
RAPH1	1.00E+00	1.39E+00
CREB1	9.97E-01	2.91E+00
IREB2	1.00E+00	2.03E+00
GDF6	9.88E-01	9.34E-01
OLFM1	9.97E-01	3.41E+00
SLC25A14	9.88E-01	2.50E+00
SLC16A2	9.88E-01	2.38E+00
TRAF3	9.99E-01	2.99E+00
MAST3	1.00E+00	4.14E+00
SPAST	9.99E-01	1.24E+00
USP32	1.00E+00	3.28E+00
LRP8	1.00E+00	2.52E+00
GJC1	9.88E-01	2.07E+00
GABBR1	1.00E+00	4.82E+00
PPP1R8	9.88E-01	2.91E+00
BMP2	9.88E-01	1.14E+00
P4HB	9.97E-01	1.31E+00
GDA	9.99E-01	1.46E+00
IQSEC1	1.00E+00	2.28E+00
KPNA6	9.99E-01	3.34E+00
LHX2	9.88E-01	2.27E+00
NFIB	9.99E-01	2.47E+00
WIZ	9.99E-01	2.38E+00
ZBTB43	9.88E-01	2.54E+00
BMPR1B	9.99E-01	2.70E-01
TTC17	1.00E+00	1.30E+00
PSMA7	9.88E-01	2.34E+00
E2F1	9.88E-01	2.07E+00
LIMK1	9.99E-01	2.63E+00
APC2	1.00E+00	7.54E-01
CSF1	9.96E-01	5.14E-01
VAV1	1.00E+00	3.86E+00
IGF2BP1	9.99E-01	3.52E+00
UFD1	9.96E-01	2.71E+00
CDKL5	9.99E-01	2.74E+00
MIER3	9.99E-01	2.07E+00
CCT2	9.99E-01	1.47E+00
SHROOM4	1.00E+00	9.51E-01
TBX21	9.96E-01	1.40E+00
HNRNPUL2	1.00E+00	9.56E-01
CARD11	1.00E+00	3.54E+00
PCNX1	1.00E+00	1.43E+00
PCNX3	1.00E+00	3.04E+00
SCHIP1	9.87E-01	1.90E+00
RAD23B	9.96E-01	1.75E+00
PRPF4	9.99E-01	1.99E+00
COL6A1	1.00E+00	5.01E-01
DCLK1	1.00E+00	4.40E+00
STK40	9.96E-01	1.46E+00
FANCB	9.96E-01	-4.17E-02
SETD5	1.00E+00	1.13E+00
